Neighbourhood ID,Neighbourhood Name,District
1,West Humber-Clairville,Etobicoke
2,Mount Olive-Silverstone-Jamestown,Etobicoke
3,Thistletown-Beaumond Heights,Etobicoke
4,Rexdale-Kipling,Etobicoke
5,Elms-Old Rexdale,Etobicoke
6,Kingsview Village-The Westway,Etobicoke
7,Willowridge-Martingrove-Richview,Etobicoke
8,Humber Heights-Westmount,Etobicoke
9,Edenbridge-Humber Valley,Etobicoke
10,Princess-Rosethorn,Etobicoke
11,Eringate-Centennial-West Deane,Etobicoke
12,Markland Wood,Etobicoke
13,Etobicoke West Mall,Etobicoke
14,Islington-City Centre West,Etobicoke
15,Kingsway South,Etobicoke
16,Stonegate-Queensway,Etobicoke
17,Mimico,Etobicoke
18,New Toronto,Etobicoke
19,Long Branch,Etobicoke
20,Alderwood,Etobicoke
21,Humber Summit,North York
22,Humbermede,North York
23,Pelmo Park-Humberlea,North York
24,Black Creek,North York
25,Glenfield-Jane Heights,North York
26,Downsview-Roding-CFB,North York
27,York University Heights,North York
28,Rustic,North York
29,Maple Leaf,North York
30,Brookhaven-Amesbury,North York
31,Yorkdale-Glen Park,North York
32,Englemount-Lawrence,North York
33,Clanton Park,North York
34,Bathurst Manor,North York
35,Westminster-Branson,North York
36,Newtonbrook West,North York
37,Willowdale West,North York
38,Lansing-Westgate,North York
39,Bedford Park-Nortown,North York
40,St. Andrew-Windfields,North York
41,Bridle Path-Sunnybrook-York Mills,North York
42,Banbury-Don Mills,North York
43,Victoria Village,North York
44,Flemingdon Park,North York
45,Parkwoods-Donalda,North York
46,Pleasant View,North York
47,Don Valley Village,North York
48,Hillcrest Village,North York
49,Bayview Woods-Steeles,North York
50,Newtonbrook East,North York
51,Willowdale East,North York
52,Bayview Village,North York
53,Henry Farm,North York
54,O'Connor-Parkview,East York
55,Thorncliffe Park,East York
56,Leaside-Bennington,East York
57,Broadview North,East York
58,Old East York,East York
59,Danforth - East York,East York
60,Woodbine-Lumsden,East York
61,Crescent Town,East York
62,East End-Danforth,Old Toronto
63,The Beaches,Old Toronto
64,Woodbine Corridor,Old Toronto
65,Greenwood-Coxwell,Old Toronto
66,Danforth Village - Toronto,Old Toronto
