data.0.ids,data.0.labels,data.0.parents,data.0.values
Scarborough/Agincourt North,Agincourt North,Scarborough,8
Scarborough/Agincourt South-Malvern West,Agincourt South-Malvern West,Scarborough,17
Etobicoke/Alderwood,Alderwood,Etobicoke,1
Old Toronto/Annex,Annex,Old Toronto,5
North York/Banbury-Don Mills,Banbury-Don Mills,North York,4
North York/Bathurst Manor,Bathurst Manor,North York,3
Old Toronto/Bay Street Corridor,Bay Street Corridor,Old Toronto,23
North York/Bayview Village,Bayview Village,North York,0
North York/Bayview Woods-Steeles,Bayview Woods-Steeles,North York,1
North York/Bedford Park-Nortown,Bedford Park-Nortown,North York,8
York/Beechborough-Greenbrook,Beechborough-Greenbrook,York,2
Scarborough/Bendale,Bendale,Scarborough,4
Scarborough/Birchcliffe-Cliffside,Birchcliffe-Cliffside,Scarborough,0
North York/Black Creek,Black Creek,North York,1
Old Toronto/Blake-Jones,Blake-Jones,Old Toronto,2
York/Briar Hill-Belgravia,Briar Hill-Belgravia,York,4
North York/Bridle Path-Sunnybrook-York Mills,Bridle Path-Sunnybrook-York Mills,North York,1
East York/Broadview North,Broadview North,East York,2
North York/Brookhaven-Amesbury,Brookhaven-Amesbury,North York,1
Old Toronto/Cabbagetown-South St. James Town,Cabbagetown-South St. James Town,Old Toronto,16
York/Caledonia-Fairbank,Caledonia-Fairbank,York,1
Old Toronto/Casa Loma,Casa Loma,Old Toronto,4
Scarborough/Centennial Scarborough,Centennial Scarborough,Scarborough,1
Old Toronto/Church-Yonge Corridor,Church-Yonge Corridor,Old Toronto,27
Scarborough/Clairlea-Birchmount,Clairlea-Birchmount,Scarborough,3
North York/Clanton Park,Clanton Park,North York,2
Scarborough/Cliffcrest,Cliffcrest,Scarborough,3
Old Toronto/Corso Italia-Davenport,Corso Italia-Davenport,Old Toronto,15
Old Toronto/Danforth,Danforth,Old Toronto,10
East York/Danforth East York,Danforth East York,East York,3
North York/Don Valley Village,Don Valley Village,North York,4
Scarborough/Dorset Park,Dorset Park,Scarborough,3
Old Toronto/Dovercourt-Wallace Emerson-Junction,Dovercourt-Wallace Emerson-Junction,Old Toronto,4
North York/Downsview-Roding-CFB,Downsview-Roding-CFB,North York,1
Old Toronto/Dufferin Grove,Dufferin Grove,Old Toronto,17
Old Toronto/East End-Danforth,East End-Danforth,Old Toronto,6
Etobicoke/Edenbridge-Humber Valley,Edenbridge-Humber Valley,Etobicoke,3
Scarborough/Eglinton East,Eglinton East,Scarborough,2
Etobicoke/Elms-Old Rexdale,Elms-Old Rexdale,Etobicoke,1
North York/Englemount-Lawrence,Englemount-Lawrence,North York,2
Etobicoke/Eringate-Centennial-West Deane,Eringate-Centennial-West Deane,Etobicoke,3
Etobicoke/Etobicoke West Mall,Etobicoke West Mall,Etobicoke,0
North York/Flemingdon Park,Flemingdon Park,North York,6
Old Toronto/Forest Hill North,Forest Hill North,Old Toronto,6
Old Toronto/Forest Hill South,Forest Hill South,Old Toronto,3
North York/Glenfield-Jane Heights,Glenfield-Jane Heights,North York,2
Old Toronto/Greenwood-Coxwell,Greenwood-Coxwell,Old Toronto,20
Scarborough/Guildwood,Guildwood,Scarborough,1
North York/Henry Farm,Henry Farm,North York,1
Old Toronto/High Park North,High Park North,Old Toronto,5
Old Toronto/High Park-Swansea,High Park-Swansea,Old Toronto,1
Scarborough/Highland Creek,Highland Creek,Scarborough,2
North York/Hillcrest Village,Hillcrest Village,North York,1
Etobicoke/Humber Heights-Westmount,Humber Heights-Westmount,Etobicoke,1
North York/Humber Summit,Humber Summit,North York,0
North York/Humbermede,Humbermede,North York,0
York/Humewood-Cedarvale,Humewood-Cedarvale,York,2
Scarborough/Ionview,Ionview,Scarborough,2
Etobicoke/Islington-City Centre West,Islington-City Centre West,Etobicoke,9
Old Toronto/Junction Area,Junction Area,Old Toronto,9
York/Keelesdale-Eglinton West,Keelesdale-Eglinton West,York,2
Scarborough/Kennedy Park,Kennedy Park,Scarborough,0
Old Toronto/Kensington-Chinatown,Kensington-Chinatown,Old Toronto,20
Etobicoke/Kingsview Village-The Westway,Kingsview Village-The Westway,Etobicoke,0
Etobicoke/Kingsway South,Kingsway South,Etobicoke,0
Scarborough/L'Amoreaux,L'Amoreaux,Scarborough,7
York/Lambton Baby Point,Lambton Baby Point,York,1
North York/Lansing-Westgate,Lansing-Westgate,North York,1
Old Toronto/Lawrence Park North,Lawrence Park North,Old Toronto,17
Old Toronto/Lawrence Park South,Lawrence Park South,Old Toronto,1
East York/Leaside-Bennington,Leaside-Bennington,East York,6
Old Toronto/Little Portugal,Little Portugal,Old Toronto,13
Etobicoke/Long Branch,Long Branch,Etobicoke,6
Scarborough/Malvern,Malvern,Scarborough,2
North York/Maple Leaf,Maple Leaf,North York,2
Etobicoke/Markland Wood,Markland Wood,Etobicoke,3
Scarborough/Milliken,Milliken,Scarborough,2
Etobicoke/Mimico (includes Humber Bay Shores),Mimico (includes Humber Bay Shores),Etobicoke,0
Scarborough/Morningside,Morningside,Scarborough,4
Old Toronto/Moss Park,Moss Park,Old Toronto,12
York/Mount Dennis,Mount Dennis,York,6
Etobicoke/Mount Olive-Silverstone-Jamestown,Mount Olive-Silverstone-Jamestown,Etobicoke,2
Old Toronto/Mount Pleasant East,Mount Pleasant East,Old Toronto,8
Old Toronto/Mount Pleasant West,Mount Pleasant West,Old Toronto,28
Etobicoke/New Toronto,New Toronto,Etobicoke,5
North York/Newtonbrook East,Newtonbrook East,North York,0
North York/Newtonbrook West,Newtonbrook West,North York,0
Old Toronto/Niagara,Niagara,Old Toronto,5
Old Toronto/North Riverdale,North Riverdale,Old Toronto,3
Old Toronto/North St. James Town,North St. James Town,Old Toronto,6
East York/O'Connor-Parkview,O'Connor-Parkview,East York,1
Scarborough/Oakridge,Oakridge,Scarborough,4
York/Oakwood Village,Oakwood Village,York,4
East York/Old East York,Old East York,East York,1
Old Toronto/Palmerston-Little Italy,Palmerston-Little Italy,Old Toronto,4
North York/Parkwoods-Donalda,Parkwoods-Donalda,North York,1
North York/Pelmo Park-Humberlea,Pelmo Park-Humberlea,North York,0
Old Toronto/Playter Estates-Danforth,Playter Estates-Danforth,Old Toronto,19
North York/Pleasant View,Pleasant View,North York,7
Etobicoke/Princess-Rosethorn,Princess-Rosethorn,Etobicoke,1
Old Toronto/Regent Park,Regent Park,Old Toronto,8
Etobicoke/Rexdale-Kipling,Rexdale-Kipling,Etobicoke,1
York/Rockcliffe-Smythe,Rockcliffe-Smythe,York,4
Old Toronto/Roncesvalles,Roncesvalles,Old Toronto,11
Old Toronto/Rosedale-Moore Park,Rosedale-Moore Park,Old Toronto,2
Scarborough/Rouge,Rouge,Scarborough,3
Old Toronto/Runnymede-Bloor West Village,Runnymede-Bloor West Village,Old Toronto,7
North York/Rustic,Rustic,North York,1
Scarborough/Scarborough Village,Scarborough Village,Scarborough,1
Old Toronto/South Parkdale,South Parkdale,Old Toronto,14
Old Toronto/South Riverdale,South Riverdale,Old Toronto,0
North York/St.Andrew-Windfields,St.Andrew-Windfields,North York,0
Scarborough/Steeles,Steeles,Scarborough,7
Etobicoke/Stonegate-Queensway,Stonegate-Queensway,Etobicoke,0
Scarborough/Tam O'Shanter-Sullivan,Tam O'Shanter-Sullivan,Scarborough,6
East York/Taylor-Massey,Taylor-Massey,East York,1
Old Toronto/The Beaches,The Beaches,Old Toronto,12
Etobicoke/Thistletown-Beaumond Heights,Thistletown-Beaumond Heights,Etobicoke,9
East York/Thorncliffe Park,Thorncliffe Park,East York,7
Old Toronto/Trinity-Bellwoods,Trinity-Bellwoods,Old Toronto,7
Old Toronto/University,University,Old Toronto,9
North York/Victoria Village,Victoria Village,North York,3
Old Toronto/Waterfront Communities-The Island,Waterfront Communities-The Island,Old Toronto,0
Scarborough/West Hill,West Hill,Scarborough,2
Etobicoke/West Humber-Clairville,West Humber-Clairville,Etobicoke,4
North York/Westminster-Branson,Westminster-Branson,North York,1
York/Weston,Weston,York,3
Old Toronto/Weston-Pelham Park,Weston-Pelham Park,Old Toronto,7
Scarborough/Wexford/Maryvale,Wexford/Maryvale,Scarborough,4
North York/Willowdale East,Willowdale East,North York,0
North York/Willowdale West,Willowdale West,North York,1
Etobicoke/Willowridge-Martingrove-Richview,Willowridge-Martingrove-Richview,Etobicoke,0
Scarborough/Woburn,Woburn,Scarborough,3
Old Toronto/Woodbine Corridor,Woodbine Corridor,Old Toronto,2
East York/Woodbine-Lumsden,Woodbine-Lumsden,East York,4
Old Toronto/Wychwood,Wychwood,Old Toronto,2
Old Toronto/Yonge-Eglinton,Yonge-Eglinton,Old Toronto,15
Old Toronto/Yonge-St.Clair,Yonge-St.Clair,Old Toronto,23
North York/York University Heights,York University Heights,North York,5
North York/Yorkdale-Glen Park,Yorkdale-Glen Park,North York,10
East York,East York,,25
Etobicoke,Etobicoke,,49
North York,North York,,70
Old Toronto,Old Toronto,,428
Scarborough,Scarborough,,91
York,York,,29
